id,date,region,product,qty,unit_price,total,customer_id,status
38,2025-02-03,West,P005,13,39.4,-512.2,C2437,refunded
39,2025-08-08,West,P005,9,39.4,354.6,C7078,paid
40,2025-09-17,North,P016,19,120.25,2284.75,C2179,paid
41,2025-11-29,North,P014,2,105.55,211.1,C9072,paid
42,2025-12-19,East,P015,12,112.9,1354.8,C3023,paid
43,2025-09-20,North,P015,15,112.9,1693.5,C4851,pending
44,2025-02-14,North,P009,19,68.8,1307.2,C2518,paid
45,2025-04-17,South,P019,6,142.3,853.8,C7443,pending
46,2025-10-22,East,P013,20,98.2,1964,C4533,paid
47,2025-06-10,West,P018,2,134.95,269.9,C5757,paid
48,2025-02-05,Central,P014,6,105.55,633.3,C4594,paid
49,2025-01-24,North,P012,9,90.85,817.65,C4520,refunded
50,2025-05-07,West,P009,19,68.8,1307.2,C1061,paid
51,2025-08-17,Central,P012,16,90.85,1453.6,C6631,paid
52,2025-11-07,North,P002,3,17.35,52.05,C2176,paid
53,2025-05-16,North,P017,15,127.6,-1914,C3037,refunded
54,2025-01-17,North,P017,10,127.6,-1276,C4400,refunded
55,2025-11-29,South,P011,1,83.5,83.5,C4140,paid
56,2025-10-04,West,P004,1,32.05,32.05,C4557,refunded
57,2025-08-27,West,P010,7,76.15,533.05,C4543,pending
58,2025-12-19,South,P010,9,76.15,685.35,C6715,paid
59,2025-03-23,Central,P013,3,98.2,294.6,C7565,paid
60,2025-03-18,North,P020,9,149.65,1346.85,C8940,paid
61,2025-02-24,Central,P011,18,83.5,1503,C4595,paid
62,2025-01-11,South,P008,8,61.45,491.6,C1551,paid
63,2025-07-10,West,P013,10,98.2,982,C7832,refunded
64,2025-09-13,South,P004,9,32.05,288.45,C2419,pending
65,2025-03-13,South,P006,4,46.75,187,C3100,paid
66,2025-07-09,South,P002,2,17.35,34.7,C9728,pending
67,2025-06-03,Central,P015,6,112.9,677.4,C4508,pending
68,2025-04-16,North,P004,5,32.05,160.25,C8777,refunded
69,2025-06-28,North,P006,1,46.75,46.75,C7084,pending
70,2025-12-07,Central,P014,11,105.55,1161.05,C6857,paid
71,2025-10-22,Central,P007,7,54.1,378.7,C1503,paid
72,2025-06-20,North,P008,19,61.45,1167.55,C6763,paid
73,2025-12-13,North,P009,18,68.8,1238.4,C3152,pending
74,2025-01-20,South,P016,7,120.25,841.75,C8511,refunded
75,2025-05-26,East,P006,9,46.75,420.75,C7543,paid
76,2025-02-28,North,P007,5,54.1,270.5,C6191,paid
77,2025-02-26,West,P001,17,10,170,C1051,paid
78,2025-12-07,Central,P004,1,32.05,-32.05,C7989,refunded
79,2025-04-06,North,P013,13,98.2,1276.6,C4485,paid
80,2025-02-17,Central,P006,9,46.75,420.75,C5303,refunded
81,2025-08-31,North,P015,3,112.9,338.7,C4544,pending
82,2025-06-11,South,P017,8,127.6,1020.8,C6141,refunded
83,2025-06-28,South,P005,2,39.4,78.8,C7815,refunded
84,2025-09-11,East,P009,8,68.8,550.4,C3267,paid
85,2025-08-08,South,P001,12,10,120,C8696,refunded
86,2025-04-12,North,P003,8,24.7,197.6,C8332,paid
87,2025-08-10,West,P012,2,90.85,181.7,C5389,paid
88,2025-06-03,West,P019,3,142.3,426.9,C6430,pending
89,2025-04-20,East,P011,14,83.5,-1169,C6990,refunded
90,2025-08-28,Central,P008,14,61.45,860.3,C1067,pending
91,2025-03-09,North,P016,12,120.25,1443,C5854,paid
92,2025-02-04,South,P009,9,68.8,619.2,C7938,pending
93,2025-01-12,East,P017,3,127.6,382.8,C9579,pending
94,2025-02-01,East,P004,7,32.05,224.35,C9241,paid
95,2025-06-22,Central,P009,2,68.8,137.6,C4147,paid
96,2025-03-15,South,P019,11,142.3,1565.3,C5958,pending
97,2025-09-25,East,P020,4,149.65,598.6,C9605,paid
98,2025-12-19,West,P018,7,134.95,944.65,C2000,paid
99,2025-09-06,South,P003,7,24.7,172.9,C6053,pending
100,2025-10-20,North,P014,9,105.55,949.95,C6016,refunded
101,2025-05-06,Central,P018,20,134.95,2699,C7674,pending
102,2025-09-02,South,P018,4,134.95,539.8,C5169,pending
103,2025-01-02,West,P011,19,83.5,1586.5,C7088,pending
104,2025-12-31,West,P020,4,149.65,598.6,C3321,paid
105,2025-04-30,South,P015,14,112.9,1580.6,C1803,paid
106,2025-09-05,West,P012,3,90.85,272.55,C4605,paid
107,2025-04-15,South,P014,20,105.55,2111,C2300,paid
108,2025-02-13,East,P015,1,112.9,112.9,C8837,refunded
109,2025-07-03,East,P020,7,149.65,1047.55,C8933,paid
110,2025-04-18,North,P015,12,112.9,1354.8,C1636,pending
111,2025-02-10,East,P013,20,98.2,1964,C9112,paid
112,2025-01-17,East,P013,18,98.2,1767.6,C2554,paid
113,2025-03-02,North,P011,13,83.5,1085.5,C3837,paid
114,2025-01-31,West,P013,16,98.2,1571.2,C1573,paid
115,2025-01-29,Central,P006,10,46.75,467.5,C2492,paid
116,2025-12-29,South,P019,3,142.3,426.9,C3069,refunded
117,2025-10-04,Central,P015,14,112.9,1580.6,C8242,paid
118,2025-03-18,North,P009,7,68.8,481.6,C7412,paid
119,2025-08-28,North,P006,1,46.75,46.75,C9000,paid
120,2025-12-02,North,P002,7,17.35,121.45,C6307,paid
121,2025-12-24,North,P017,17,127.6,2169.2,C4769,refunded
122,2025-07-05,East,P005,1,39.4,39.4,C6154,pending
123,2025-12-28,East,P007,11,54.1,595.1,C8209,refunded
124,2025-01-12,Central,P003,5,24.7,123.5,C6395,pending
125,2025-12-06,East,P012,9,90.85,817.65,C9521,paid
126,2025-09-23,South,P002,4,17.35,69.4,C3158,pending
127,2025-11-05,North,P014,19,105.55,2005.45,C9238,paid
128,2025-12-27,Central,P005,15,39.4,591,C8056,paid
129,2025-12-26,Central,P017,18,127.6,2296.8,C4771,pending
130,2025-09-27,South,P015,17,112.9,1919.3,C6727,paid
131,2025-02-03,North,P017,5,127.6,638,C5504,paid
132,2025-12-01,East,P014,16,105.55,1688.8,C8737,refunded
133,2025-06-29,East,P015,15,112.9,1693.5,C5349,pending
134,2025-08-25,East,P016,4,120.25,481,C4931,refunded
135,2025-06-12,South,P006,17,46.75,794.75,C2243,refunded
136,2025-08-05,Central,P003,7,24.7,172.9,C3576,paid
137,2025-03-28,West,P018,12,134.95,1619.4,C4274,paid
138,2025-07-15,South,P010,7,76.15,533.05,C4118,refunded
139,2025-04-21,Central,P014,6,105.55,633.3,C8431,paid
140,2025-02-14,East,P007,7,54.1,378.7,C1696,paid
141,2025-08-22,East,P011,9,83.5,751.5,C8941,refunded
142,2025-12-09,East,P019,9,142.3,1280.7,C4116,paid
143,2025-05-14,South,P013,11,98.2,1080.2,C5492,paid
144,2025-01-05,South,P001,16,10,160,C4846,refunded
145,2025-01-31,East,P009,16,68.8,1100.8,C4943,paid
146,2025-01-26,South,P003,3,24.7,74.1,C2287,refunded
147,2025-04-05,South,P001,6,10,60,C8950,paid
148,2025-07-14,West,P012,11,90.85,999.35,C9232,paid
149,2025-01-22,Central,P020,18,149.65,2693.7,C1097,paid
150,2025-12-17,West,P018,5,134.95,674.75,C9102,paid
151,2025-11-22,South,P020,4,149.65,598.6,C8803,refunded
152,2025-09-19,South,P008,10,61.45,614.5,C7377,paid
153,2025-11-14,Central,P017,4,127.6,510.4,C6994,paid
154,2025-03-27,East,P016,9,120.25,1082.25,C4757,paid
155,2025-04-20,West,P010,4,76.15,304.6,C1182,refunded
156,2025-10-18,North,P001,1,10,10,C1440,pending
157,2025-06-22,Central,P001,16,10,160,C7839,paid
158,2025-02-20,Central,P004,16,32.05,512.8,C6706,paid
159,2025-06-06,Central,P004,20,32.05,641,C2790,paid
160,2025-08-24,South,P007,11,54.1,595.1,C2965,paid
161,2025-05-28,East,P008,9,61.45,553.05,C9210,paid
162,2025-06-21,West,P020,2,149.65,299.3,C6415,paid
163,2025-08-12,North,P016,6,120.25,721.5,C9110,paid
164,2025-04-02,South,P019,8,142.3,1138.4,C5702,pending
165,2025-03-31,East,P002,19,17.35,329.65,C8730,pending
166,2025-02-01,North,P014,1,105.55,105.55,C7832,paid
167,2025-12-23,East,P001,20,10,200,C3982,paid
168,2025-05-15,West,P018,15,134.95,2024.25,C8809,pending
169,2025-12-15,West,P013,19,98.2,1865.8,C8781,paid
170,2025-03-02,North,P004,2,32.05,64.1,C4095,paid
171,2025-04-25,South,P010,12,76.15,913.8,C1020,paid
172,2025-08-05,West,P006,19,46.75,888.25,C2499,paid
173,2025-01-18,Central,P009,18,68.8,1238.4,C5109,paid
174,2025-03-06,North,P014,8,105.55,844.4,C4216,refunded
175,2025-12-14,West,P010,11,76.15,837.65,C9235,paid
176,2025-04-29,West,P016,8,120.25,962,C6104,paid
177,2025-01-21,Central,P006,17,46.75,794.75,C9478,refunded
178,2025-11-23,Central,P007,4,54.1,216.4,C7489,paid
179,2025-11-11,West,P012,14,90.85,1271.9,C3692,paid
180,2025-08-16,North,P002,16,17.35,277.6,C9133,paid
181,2025-11-29,North,P008,8,61.45,491.6,C1966,paid
182,2025-05-17,East,P003,3,24.7,74.1,C5776,refunded
183,2025-07-21,West,P007,18,54.1,973.8,C6184,refunded
184,2025-03-08,Central,P014,7,105.55,738.85,C7147,paid
185,2025-09-05,East,P011,4,83.5,334,C6708,pending
186,2025-05-13,Central,P004,7,32.05,224.35,C2881,refunded
187,2025-07-24,East,P006,15,46.75,701.25,C2221,refunded
188,2025-01-12,West,P001,13,10,130,C5198,paid
189,2025-04-26,North,P018,12,134.95,-1619.4,C4670,refunded
190,2025-09-07,North,P020,17,149.65,2544.05,C7999,paid
191,2025-03-31,Central,P001,1,10,10,C1416,refunded
192,2025-04-08,Central,P006,5,46.75,233.75,C8052,paid
193,2025-04-08,Central,P011,9,83.5,751.5,C8617,paid
194,2025-08-10,West,P008,11,61.45,675.95,C2842,paid
195,2025-01-19,South,P004,11,32.05,352.55,C8303,refunded
196,2025-07-19,North,P007,10,54.1,541,C9935,refunded
197,2025-10-11,Central,P002,9,17.35,156.15,C7772,pending
198,2025-08-27,Central,P003,17,24.7,419.9,C9394,paid
199,2025-03-30,South,P008,2,61.45,122.9,C9313,pending
200,2025-06-12,East,P015,5,112.9,564.5,C1988,paid
